,return_0,return_1,return_2,return_3,return_4,return_5,return_6,return_7,return_8,return_9
23,500.0,490.0,479.0,500.0,500.0,500.0,118.0,500.0,500.0,500.0
24,500.0,492.0,481.0,500.0,500.0,500.0,118.0,500.0,500.0,500.0
25,500.0,495.0,482.0,500.0,500.0,500.0,118.0,500.0,500.0,500.0
26,500.0,497.0,483.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
27,500.0,497.0,490.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
28,500.0,498.0,493.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
29,500.0,499.0,494.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
30,500.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
31,500.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
32,500.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
33,500.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
34,500.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
35,500.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
36,500.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
37,500.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
38,500.0,500.0,500.0,500.0,500.0,500.0,119.0,500.0,500.0,500.0
39,500.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,500.0,500.0
40,500.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,500.0,500.0
41,500.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,500.0,500.0
42,500.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,500.0,500.0
43,500.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,500.0,500.0
44,500.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,500.0,500.0
45,500.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,500.0,500.0
46,500.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,500.0,500.0
47,500.0,500.0,500.0,500.0,500.0,500.0,120.0,500.0,500.0,500.0
48,500.0,500.0,500.0,500.0,500.0,500.0,121.0,500.0,500.0,500.0
49,500.0,500.0,500.0,500.0,500.0,500.0,121.0,500.0,500.0,500.0
50,500.0,500.0,500.0,500.0,500.0,500.0,121.0,500.0,500.0,500.0
51,500.0,500.0,500.0,500.0,500.0,500.0,121.0,500.0,500.0,500.0
52,500.0,500.0,500.0,500.0,500.0,500.0,121.0,500.0,500.0,500.0
53,500.0,500.0,500.0,500.0,500.0,500.0,121.0,500.0,500.0,500.0
54,500.0,500.0,500.0,500.0,500.0,500.0,121.0,500.0,500.0,500.0
55,500.0,500.0,500.0,500.0,500.0,500.0,121.0,500.0,500.0,500.0
56,500.0,500.0,500.0,500.0,500.0,500.0,122.0,500.0,500.0,500.0
57,500.0,500.0,500.0,500.0,500.0,500.0,122.0,500.0,500.0,500.0
58,500.0,500.0,500.0,500.0,500.0,500.0,122.0,500.0,500.0,500.0
59,500.0,500.0,500.0,500.0,500.0,500.0,122.0,500.0,500.0,500.0
60,500.0,500.0,500.0,500.0,500.0,500.0,122.0,500.0,500.0,500.0
61,500.0,500.0,500.0,500.0,500.0,500.0,122.0,500.0,500.0,500.0
62,500.0,500.0,500.0,500.0,500.0,500.0,122.0,500.0,500.0,500.0
63,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
64,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
65,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
66,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
67,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
68,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
69,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
70,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
71,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
72,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
73,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
74,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
75,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
76,500.0,500.0,500.0,500.0,500.0,500.0,123.0,500.0,500.0,500.0
77,500.0,500.0,500.0,500.0,500.0,500.0,124.0,500.0,500.0,500.0
78,500.0,500.0,500.0,500.0,500.0,500.0,124.0,500.0,500.0,500.0
79,500.0,500.0,500.0,500.0,500.0,500.0,124.0,500.0,500.0,500.0
80,500.0,500.0,500.0,500.0,500.0,500.0,124.0,500.0,500.0,500.0
81,500.0,500.0,500.0,500.0,500.0,500.0,124.0,500.0,500.0,500.0
82,500.0,500.0,500.0,500.0,500.0,500.0,124.0,500.0,500.0,500.0
83,500.0,500.0,500.0,500.0,500.0,500.0,124.0,500.0,500.0,500.0
84,500.0,500.0,500.0,500.0,500.0,500.0,124.0,500.0,500.0,500.0
85,500.0,500.0,500.0,500.0,500.0,500.0,124.0,500.0,500.0,500.0
86,500.0,500.0,500.0,500.0,500.0,500.0,124.0,500.0,500.0,500.0
87,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
88,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
89,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
90,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
91,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
92,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
93,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
94,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
95,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
96,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
97,500.0,500.0,500.0,500.0,500.0,500.0,125.0,500.0,500.0,500.0
98,500.0,500.0,500.0,500.0,500.0,500.0,126.0,500.0,500.0,500.0
99,500.0,500.0,500.0,500.0,500.0,500.0,126.0,500.0,500.0,500.0
100,500.0,500.0,500.0,500.0,500.0,500.0,126.0,500.0,500.0,500.0
101,500.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,500.0,500.0
102,500.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,500.0,500.0
103,500.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,500.0,500.0
104,500.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,500.0,500.0
105,500.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,500.0,500.0
106,500.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,500.0,500.0
107,500.0,500.0,500.0,500.0,500.0,500.0,127.0,500.0,500.0,500.0
108,500.0,500.0,500.0,500.0,500.0,500.0,128.0,500.0,500.0,500.0
109,500.0,500.0,500.0,500.0,500.0,500.0,128.0,500.0,500.0,500.0
110,500.0,500.0,500.0,500.0,500.0,500.0,129.0,500.0,500.0,500.0
111,500.0,500.0,500.0,500.0,500.0,500.0,129.0,500.0,500.0,500.0
112,500.0,500.0,500.0,500.0,500.0,500.0,129.0,500.0,500.0,500.0
113,500.0,500.0,500.0,500.0,500.0,500.0,129.0,500.0,500.0,500.0
114,500.0,500.0,500.0,500.0,500.0,500.0,129.0,500.0,500.0,500.0
115,500.0,500.0,500.0,500.0,500.0,500.0,130.0,500.0,500.0,500.0
116,500.0,500.0,500.0,500.0,500.0,500.0,130.0,500.0,500.0,500.0
117,500.0,500.0,500.0,500.0,500.0,500.0,130.0,500.0,500.0,500.0
118,500.0,500.0,500.0,500.0,500.0,500.0,130.0,500.0,500.0,500.0
119,500.0,500.0,500.0,500.0,500.0,500.0,130.0,500.0,500.0,500.0
120,500.0,500.0,500.0,500.0,500.0,500.0,132.0,500.0,500.0,500.0
121,500.0,500.0,500.0,500.0,500.0,500.0,132.0,500.0,500.0,500.0
122,500.0,500.0,500.0,500.0,500.0,500.0,132.0,500.0,500.0,500.0
123,500.0,500.0,500.0,500.0,500.0,500.0,132.0,500.0,500.0,500.0
124,500.0,500.0,500.0,500.0,500.0,500.0,132.0,500.0,500.0,500.0
125,500.0,500.0,500.0,500.0,500.0,500.0,133.0,500.0,500.0,500.0
126,500.0,500.0,500.0,500.0,500.0,500.0,133.0,500.0,500.0,500.0
127,500.0,500.0,500.0,500.0,500.0,500.0,135.0,500.0,500.0,500.0
